Team,Season,Games Played,Wins,Losses,Overtime Losses,Points,Point Percentage,Goals For,Goals Against
Nashville Predators,2018-19,82.0,47.0,29.0,6.0,100.0,0.61,236.0,212.0
St. Louis Blues,2018-19,82.0,45.0,28.0,9.0,99.0,0.604,244.0,220.0
Calgary Flames,2018-19,82.0,50.0,25.0,7.0,107.0,0.652,289.0,223.0
Colorado Avalanche,2018-19,82.0,38.0,30.0,14.0,90.0,0.549,258.0,244.0
Edmonton Oilers,2018-19,82.0,35.0,38.0,9.0,79.0,0.482,229.0,271.0
Vancouver Canucks,2018-19,82.0,35.0,36.0,11.0,81.0,0.494,219.0,248.0
Anaheim Ducks,2018-19,82.0,35.0,37.0,10.0,80.0,0.488,196.0,248.0
Dallas Stars,2018-19,82.0,43.0,32.0,7.0,93.0,0.567,209.0,200.0
Los Angeles Kings,2018-19,82.0,31.0,42.0,9.0,71.0,0.433,199.0,259.0
San Jose Sharks,2018-19,82.0,46.0,27.0,9.0,101.0,0.616,289.0,258.0
Columbus Blue Jackets,2018-19,82.0,47.0,31.0,4.0,98.0,0.598,256.0,231.0
Minnesota Wild,2018-19,82.0,37.0,36.0,9.0,83.0,0.506,210.0,233.0
Winnipeg Jets,2018-19,82.0,47.0,30.0,5.0,99.0,0.604,270.0,243.0
Arizona Coyotes,2018-19,82.0,39.0,35.0,8.0,86.0,0.524,209.0,220.0
Vegas Golden Knights,2018-19,82.0,43.0,32.0,7.0,93.0,0.567,246.0,228.0
New Jersey Devils,2019-20,69.0,28.0,29.0,12.0,68.0,0.493,185.0,224.0
New York Islanders,2019-20,68.0,35.0,23.0,10.0,80.0,0.588,189.0,190.0
New York Rangers,2019-20,70.0,37.0,28.0,5.0,79.0,0.564,233.0,220.0
Philadelphia Flyers,2019-20,69.0,41.0,21.0,7.0,89.0,0.645,227.0,191.0
Pittsburgh Penguins,2019-20,69.0,40.0,23.0,6.0,86.0,0.623,221.0,196.0
Boston Bruins,2019-20,70.0,44.0,14.0,12.0,100.0,0.714,227.0,167.0
Buffalo Sabres,2019-20,69.0,30.0,31.0,8.0,68.0,0.493,193.0,215.0
Montréal Canadiens,2019-20,71.0,31.0,31.0,9.0,71.0,0.5,208.0,220.0
Ottawa Senators,2019-20,71.0,25.0,34.0,12.0,62.0,0.437,190.0,238.0
Toronto Maple Leafs,2019-20,70.0,36.0,25.0,9.0,81.0,0.579,237.0,222.0
Carolina Hurricanes,2019-20,68.0,38.0,25.0,5.0,81.0,0.596,217.0,193.0
Florida Panthers,2019-20,69.0,35.0,26.0,8.0,78.0,0.565,228.0,224.0
Tampa Bay Lightning,2019-20,70.0,43.0,21.0,6.0,92.0,0.657,243.0,194.0
Washington Capitals,2019-20,69.0,41.0,20.0,8.0,90.0,0.652,236.0,212.0
Chicago Blackhawks,2019-20,70.0,32.0,30.0,8.0,72.0,0.514,208.0,214.0
Detroit Red Wings,2019-20,71.0,17.0,49.0,5.0,39.0,0.275,142.0,265.0
Nashville Predators,2019-20,69.0,35.0,26.0,8.0,78.0,0.565,212.0,214.0
St. Louis Blues,2019-20,71.0,42.0,19.0,10.0,94.0,0.662,223.0,190.0
Calgary Flames,2019-20,70.0,36.0,27.0,7.0,79.0,0.564,204.0,214.0
Colorado Avalanche,2019-20,70.0,42.0,20.0,8.0,92.0,0.657,236.0,190.0
Edmonton Oilers,2019-20,71.0,37.0,25.0,9.0,83.0,0.585,223.0,215.0
Vancouver Canucks,2019-20,69.0,36.0,27.0,6.0,78.0,0.565,224.0,214.0
Anaheim Ducks,2019-20,71.0,29.0,33.0,9.0,67.0,0.472,182.0,225.0
Dallas Stars,2019-20,69.0,37.0,24.0,8.0,82.0,0.594,178.0,174.0
Los Angeles Kings,2019-20,70.0,29.0,35.0,6.0,64.0,0.457,177.0,209.0
San Jose Sharks,2019-20,70.0,29.0,36.0,5.0,63.0,0.45,180.0,225.0
Columbus Blue Jackets,2019-20,70.0,33.0,22.0,15.0,81.0,0.579,180.0,183.0
Minnesota Wild,2019-20,69.0,35.0,27.0,7.0,77.0,0.558,218.0,217.0
Winnipeg Jets,2019-20,71.0,37.0,28.0,6.0,80.0,0.563,213.0,201.0
Arizona Coyotes,2019-20,70.0,33.0,29.0,8.0,74.0,0.529,190.0,183.0
Vegas Golden Knights,2019-20,71.0,39.0,24.0,8.0,86.0,0.606,224.0,209.0
New Jersey Devils,2020-21,56.0,19.0,30.0,7.0,45.0,0.402,145.0,189.0
New York Islanders,2020-21,56.0,32.0,17.0,7.0,71.0,0.634,152.0,125.0
New York Rangers,2020-21,56.0,27.0,23.0,6.0,60.0,0.536,176.0,155.0
Philadelphia Flyers,2020-21,56.0,25.0,23.0,8.0,58.0,0.518,160.0,197.0
Pittsburgh Penguins,2020-21,56.0,37.0,16.0,3.0,77.0,0.688,193.0,155.0
Boston Bruins,2020-21,56.0,33.0,16.0,7.0,73.0,0.652,164.0,134.0
Buffalo Sabres,2020-21,56.0,15.0,34.0,7.0,37.0,0.33,134.0,196.0
Montréal Canadiens,2020-21,56.0,24.0,21.0,11.0,59.0,0.527,158.0,165.0
Ottawa Senators,2020-21,56.0,23.0,28.0,5.0,51.0,0.455,155.0,189.0
Toronto Maple Leafs,2020-21,56.0,35.0,14.0,7.0,77.0,0.688,186.0,148.0
Carolina Hurricanes,2020-21,56.0,36.0,12.0,8.0,80.0,0.714,175.0,134.0
Florida Panthers,2020-21,56.0,37.0,14.0,5.0,79.0,0.705,188.0,151.0
Tampa Bay Lightning,2020-21,56.0,36.0,17.0,3.0,75.0,0.67,180.0,145.0
Washington Capitals,2020-21,56.0,36.0,15.0,5.0,77.0,0.688,188.0,161.0
Chicago Blackhawks,2020-21,56.0,24.0,25.0,7.0,55.0,0.491,159.0,184.0
Detroit Red Wings,2020-21,56.0,19.0,27.0,10.0,48.0,0.429,125.0,168.0
Nashville Predators,2020-21,56.0,31.0,23.0,2.0,64.0,0.571,151.0,154.0
St. Louis Blues,2020-21,56.0,27.0,20.0,9.0,63.0,0.563,167.0,167.0
Calgary Flames,2020-21,56.0,26.0,27.0,3.0,55.0,0.491,155.0,160.0
Colorado Avalanche,2020-21,56.0,39.0,13.0,4.0,82.0,0.732,197.0,132.0
Edmonton Oilers,2020-21,56.0,35.0,19.0,2.0,72.0,0.643,183.0,154.0
Vancouver Canucks,2020-21,56.0,23.0,29.0,4.0,50.0,0.446,148.0,187.0
Anaheim Ducks,2020-21,56.0,17.0,30.0,9.0,43.0,0.384,124.0,177.0
Dallas Stars,2020-21,56.0,23.0,19.0,14.0,60.0,0.536,156.0,148.0
