Team,Season,Games Played,Wins,Losses,Overtime Losses,Points,Point Percentage,Goals For,Goals Against,Total Players,Average Age,Cap Space,Total Cap,Long0term IR,Active,Injured
Vancouver Canucks,2023,82.0,50.0,23.0,9.0,109.0,0.665,279.0,221.0,55,27.6,0,85190759,2540759.0,81361091,0.0
Anaheim Ducks,2023,82.0,27.0,50.0,5.0,59.0,0.36,203.0,293.0,55,25.3,13168855,70331145,0.0,62409004,2750000.0
Dallas Stars,2023,82.0,52.0,21.0,9.0,113.0,0.689,294.0,232.0,46,28.7,1245272,84372443,0.0,83203598,0.0
Los Angeles Kings,2023,82.0,44.0,27.0,11.0,99.0,0.604,254.0,210.0,52,28.0,0,86413334,2913334.0,78959224,0.0
San Jose Sharks,2023,82.0,19.0,54.0,9.0,47.0,0.287,180.0,326.0,62,27.1,9725679,73749321,0.0,48219231,13425000.0
Columbus Blue Jackets,2023,82.0,27.0,43.0,12.0,66.0,0.402,234.0,298.0,53,25.7,6993799,76506201,0.0,61089693,779723.0
Minnesota Wild,2023,82.0,39.0,34.0,9.0,87.0,0.53,248.0,260.0,58,28.3,1830,83498170,0.0,60246294,0.0
Winnipeg Jets,2023,82.0,52.0,24.0,6.0,110.0,0.671,259.0,198.0,52,28.1,3921956,87421956,0.0,83392856,224000.0
Arizona Coyotes,2023,82.0,36.0,41.0,5.0,77.0,0.47,254.0,274.0,54,25.9,12180382,71319618,0.0,42536666,23148206.0
Vegas Golden Knights,2023,82.0,45.0,29.0,8.0,98.0,0.598,263.0,243.0,55,28.1,0,101121666,17621666.0,81963348,0.0
Seattle Kraken,2023,82.0,34.0,35.0,13.0,81.0,0.494,214.0,232.0,53,28.7,1503645,81866445,0.0,75052201,0.0
