Team,Season,Games Played,Wins,Losses,Overtime Losses,Points,Point Percentage,Goals For,Goals Against,Total Players,Average Age,Cap Space,Total Cap,Long0term IR,Active,Injured
Winnipeg Jets,2013,82.0,37.0,35.0,10.0,84.0,0.512,219.0,231.0,56,26.2,617412,63682588,0.0,62792409,0.0
New Jersey Devils,2014,82.0,32.0,36.0,14.0,78.0,0.476,176.0,209.0,53,29.1,7153497,61846503,0.0,51702013,3166668.0
New York Islanders,2014,82.0,47.0,28.0,7.0,101.0,0.616,245.0,224.0,58,26.7,4480681,64519319,0.0,61084002,0.0
New York Rangers,2014,82.0,53.0,22.0,7.0,113.0,0.689,248.0,187.0,57,27.9,190981,68809019,0.0,67071830,0.0
Philadelphia Flyers,2014,82.0,33.0,31.0,18.0,84.0,0.512,212.0,223.0,54,27.6,4580710,73580710,0.0,68039985,0.0
Pittsburgh Penguins,2014,82.0,43.0,27.0,12.0,98.0,0.598,217.0,204.0,56,28.6,2278364,71278364,0.0,64658706,3750000.0
Boston Bruins,2014,82.0,41.0,27.0,14.0,96.0,0.585,209.0,201.0,51,28.2,2853387,66146613,0.0,64409325,0.0
Buffalo Sabres,2014,82.0,23.0,51.0,8.0,54.0,0.329,153.0,269.0,60,26.3,11332196,57667804,0.0,42406839,0.0
Montréal Canadiens,2014,82.0,50.0,22.0,10.0,110.0,0.671,214.0,184.0,57,26.9,904353,68095647,0.0,64122215,0.0
Ottawa Senators,2014,82.0,43.0,26.0,13.0,99.0,0.604,232.0,208.0,51,25.5,12250104,56749896,0.0,54018042,2500000.0
Toronto Maple Leafs,2014,82.0,30.0,44.0,8.0,68.0,0.415,206.0,257.0,66,27.1,2579030,66420970,0.0,56378733,0.0
Carolina Hurricanes,2014,82.0,30.0,41.0,11.0,71.0,0.433,183.0,219.0,50,26.4,5393601,63606399,0.0,56592687,0.0
Florida Panthers,2014,82.0,38.0,29.0,15.0,91.0,0.555,198.0,213.0,51,28.7,6275595,62724405,0.0,53370643,0.0
Tampa Bay Lightning,2014,82.0,50.0,24.0,8.0,108.0,0.659,259.0,206.0,58,25.7,836530,69836530,0.0,62808821,0.0
Washington Capitals,2014,82.0,45.0,26.0,11.0,101.0,0.616,237.0,199.0,53,27.9,422958,68577042,0.0,66076369,1962500.0
Chicago Blackhawks,2014,82.0,48.0,28.0,6.0,102.0,0.622,220.0,186.0,55,27.1,1685706,70685706,0.0,68893938,0.0
Detroit Red Wings,2014,82.0,43.0,25.0,14.0,100.0,0.61,231.0,211.0,53,28.8,3296882,65703118,0.0,65463065,0.0
Nashville Predators,2014,82.0,47.0,25.0,10.0,104.0,0.634,226.0,202.0,51,26.9,9178961,59821039,0.0,57581256,0.0
St. Louis Blues,2014,82.0,51.0,24.0,7.0,109.0,0.665,239.0,197.0,54,27.8,792092,68207908,0.0,64786379,0.0
Calgary Flames,2014,82.0,45.0,30.0,7.0,97.0,0.591,237.0,213.0,54,25.5,10234387,58765613,0.0,56512248,0.0
